"product id","Part Number",Description
7824384,100-K-VCM,"This 100 series K frame assembled by Rockwell Automation uses a standard terminal type. "
7824385,100-K-VLM,"The 100-K-VLM manufactured by AB uses a standard terminal type. "
7824386,100-K-VPM,"The 100-K-VPM assembled by Allen Bradley uses a standard terminal type. "
7824387,100-K-VTM,"This 100 series made by Allen-Bradley/Rockwell Automation uses a standard terminal. "
7822766,100-K05B01,"This 100 series K frame built by AB has a breaking current rating of 5 A. In addition, this electromechanical contactor switch operates at 480 Volts at 60 Hertz and uses a standard terminal. It has 1 N.C. auxiliary contact. This contactor comes with 3 N.O. poles. "
7822767,100-K05B01M,"This Allen-Bradley 5 Amps K frame switch comes with 3 normally open poles. This 100 series K frame electromechanical contactor has a 480V 60Hz control coil with an integrated diode. This K frame switch has 1 normally closed auxiliary contact. This electromechanical contactor uses a standard terminal. "
7822768,100-K05B10,"The 100-K05B10 made by Rockwell Automation comes with a breaking amperage rating of 5 Amps. Also, it has 1 N.O. auxiliary contact. This 100 series K frame contactor uses a standard terminal. In addition, this switch is a 480 Volts at 60 Hertz contactor. This 100 series K frame contactor switch has 3 normally open poles. "
7822769,100-K05B10M,"The 100-K05B10M built by AB is a 5 Amps rated electromechanical contactor switch. Also, this electromechanical contactor switch uses a standard terminal. This K frame electromechanical contactor comes with 3 normally open main contacts. This electromechanical contactor is a 480 Volts at 60 Hertz contactor switch and comes with 1 N.O. auxiliary contact. "
7822770,100-K05B200,"This K frame constructed by Allen-Bradley/Rockwell Automation is a 5 Amps IEC contactor. Additionally, it uses a standard terminal. This 100 series K frame switch has a 480 Volts at 60Hz control coil that contains an integrated diode. Furthermore, this IEC contactor also comes with 2 normally open 2 normally closed main contacts. "
7822771,100-K05B200M,"This AB K frame contactor is a 5 A electromechanical contactor switch. Additionally, this 100 series K frame electromechanical contactor switch uses a standard terminal type. Also, this K frame electromechanical contactor has a 480V 60Hz control coil that contains an integrated diode. It comes with 2 N.O. 2 N.C. main contacts. "
7822772,100-K05B300,"This Allen-Bradley/Rockwell Automation 5 A K frame IEC contactor uses a standard terminal type. Additionally, this Rockwell Automation switch operates at 480V 60Hz. This 100 series IEC contactor comes with 3 N.O. 1 N.C. main contacts. "
7822773,100-K05B300M,"This AB 100 series contactor switch is a 5 A electromechanical contactor. In addition, it is a 480V 60Hz contactor. Additionally, this electromechanical contactor has 3 normally open 1 normally closed main contacts. This IEC contactor uses a standard terminal type. "
