Sentence Templates,,
Type,Template,
introduction,This [brand] [spec:primary] [type] [spec],
introduction,This [brand] [type] [spec],
introduction,This [type] [manufactured] by [brand] [spec],
introduction,The [part number] [manufactured] by [brand] [spec],
introduction,The [Brand] [Part Number] [Type] [spec],
Secondary,This [type] [spec],?
Secondary,"[additionally], this [type] [spec]",
Secondary,"This [type] [additionally], [spec]",
Secondary,"[additionally], it [spec]",
Secondary,It [spec],
Secondary,"[additionally], this [brand] [type] [spec]",
Multi-Spec,"This [type] [spec1], [spec2], and [spec3]",
Multi-Spec,"[additionally], it [spec1], [spec2], and [spec3]",
Multi-Spec,This [type] [spec1] and [spec2],
Multi-Spec,"[additionally], this [type] [spec1] and [spec2]",
Multi-Spec,It [spec1] and [spec2],
Multi-Spec,"[additionally], it [spec1] and [spec2]",
,,
Glossary,,
Key,Values,
brand,"Allen Bradley, Allen-Bradley, AB, Allen-Bradley/Rockwell Automation",
type,"PowerFlex 70, AC drive, adjustable frequency drive, VFD, PF70, PowerFlex 70 AC drive, drive",
has,"has, comes with",
installed,"installed, included, blank",
him,"HIM unit, human interface module, inferface module, blank",
option,"option, card, board, module, unit, option board",
unit,"unit, module",
manufactured,"manufactured, made, built, blank",
additionally,"additionally, in addition, also",
,,
Specifications,,
Name,Template,Priority
HIM,"[has] a [value] [him] [installed] [on the cover, on the faceplate, on this drive, blank]",
Blank HIM,"[has] no [HIM, human interface, HIM unit, keypad unit] [installed], instead [it, the drive, this drive] [has] a [value]",
Blank HIM,"[has] a [value] [in place, instead] of the [HIM module, HIM, interface module, keypad module, keypad/LCD module]",
Communication Option,"[allows, is enabled] for communication [by having a, with a] [value] [unit] [installed]",
Communication Option,[has] a [value] [option] [installed],
Voltage,"is powered [with, by] [value]",
Voltage,"is a [value] [drive, VFD, variable frequency drive]",
Voltage,"[requires, utilizes, needs] [value] [power, blank] [to operate, blank]",
Voltage,has power requirements of [value],
HP,"[has] a [HP, horsepower,blank] [ND output, blank] rating of [value]",P
HP,"is a [value] [rated, blank] [drive, unit]",P
kW,"[has] a [kW, blank] [ND output, blank] rating of [value]",P
kW,"is a [value] [rated, blank] [drive, unit, VFD]",P
Enclosure,"[has] a [value] [enclosure, enclosure type, blank] [rating, blank]",
Enclosure,"is [contained, housed] in a [value] [enclosure, enclosure type]",
Frame,"is a size [value] frame [unit, drive,]",
Frame,[has] a [value] frame size,
Drive Feature,"[has, comes with] a [value] [installed]",
Drive Feature,"[includes, has, features] a [value]",
Amps,"[has] a [amperage,blank] [output, blank] rating of [value]",P
Amps,"is a [value] [rated, blank] [drive, unit, VFD, AC drive]",P
Control,"[has] a [value] [option] [installed] [on the drive, blank]",
Encoder,"[has,comes with, includes] a [value] [option] [installed]",
Safe-Off,"[has] a [value] [option] [installed] [on the control board, blank]",
