"product id","Part Number",Description
8670922,100-E09EJ01,"The Allen-Bradley 100-E09EJ01 contactor has a breaking rating of 9 A. Additionally, it has 3 N.O. main contacts. Furthermore, this unit also has 1 N.C. auxiliary contact. This electromechanical contactor switch is a 24-60V AC-DC(with PLC input) electromechanical contactor switch, has bar connections, and uses a standard terminal. "
8670923,100-E09EJ10,"The 100-E09EJ10 by Rockwell Automation is a 9 Amps contactor. Additionally, this 100 series electromechanical contactor comes with a 24-60V AC-DC(with PLC input) control coil that utilizes an integrated diode. Furthermore, this Allen-Bradley contactor also has 3 N.O. poles. It uses a standard terminal and has bar connections. It has 1 N.O. auxiliary contact. "
8670924,100-E09EJ200,"This contactor switch by AB is a 9 Amps rated electromechanical contactor. This electromechanical contactor switch has bar connections and 2 N.O. 2 N.C. poles. This IEC contactor comes with a 24-60V AC-DC(with PLC input) control coil that utilizes an integrated diode. This E frame switch in addition uses a standard terminal. "
8670925,100-E09EJ400,"The 100-E09EJ400 manufactured by Allen Bradley is a 9 A electromechanical contactor. This contactor uses a standard terminal type and comes with 4 normally open main contacts. This IEC contactor has bar connections. This 100 series IEC contactor is a 24-60 Volts alternating current-direct current(with programmable logic controller input) electromechanical contactor switch. "
8670926,100-E09EQ01,"This 100 series made by Allen-Bradley/Rockwell Automation is a 9 Amps rated contactor switch. Additionally, this AB electromechanical contactor has bar connections. This 100 series switch has 3 normally open poles. This electromechanical contactor operates at 12-20V DC, has 1 normally closed auxiliary contact, and uses a standard terminal type. "
8670927,100-E09EQ10,"This electromechanical contactor constructed by Allen-Bradley is a 9 Amps IEC contactor. Additionally, it comes with bar connections and is a 12-20 Volts DC IEC contactor. It uses a standard terminal. In addition, this IEC contactor comes with 1 normally open auxiliary contact. It has 3 N.O. main contacts. "
8670928,100-E09EQ200,"This electromechanical contactor switch made by Rockwell Automation is a 9 Amps electromechanical contactor switch. Also, this contactor is a 12-20 Volts direct current contactor switch. Additionally, this contactor uses a standard terminal. This 100 series electromechanical contactor has 2 normally open 2 normally closed poles. This electromechanical contactor switch comes with bar connections. "
8670929,100-E09EQ400,"This IEC contactor constructed by Allen-Bradley comes with a breaking rating of 9 Amps. This 100 series electromechanical contactor switch comes with bar connections. Furthermore, this Allen-Bradley IEC contactor also uses a standard terminal. In addition, it has 4 N.O. main contacts and is a 12-20 Volts DC IEC contactor. "
8670930,100-E09KD01,"The 100-E09KD01 built by Rockwell Automation is a 9 A rated IEC contactor. In addition, this AB IEC contactor has 3 N.O. main contacts. This 100 series E frame contactor switch uses a standard terminal. This 100 series E frame contactor comes with 1 normally closed auxiliary contact. Additionally, it comes with bar connections and a 100-250 Volts AC/DC control coil with an integrated diode. "
8670931,100-E09KD10,"This contactor by Allen Bradley is a 9 Amps IEC contactor. It comes with 3 normally open poles and operates at 100-250 Volts alternating current/direct current. Furthermore, it also uses a standard terminal. In addition, this Allen-Bradley electromechanical contactor switch has 1 normally open auxiliary contact. Additionally, it has bar connections. "
8670932,100-E09KD200,"This AB 9 Amps 100 series contactor comes with 2 N.O. 2 N.C. main contacts. Furthermore, this unit uses a standard terminal. This 100 series E frame switch has bar connections. This 100 series E frame switch is a 100-250 Volts AC/DC electromechanical contactor switch. "
8670933,100-E09KD400,"The 100-E09KD400 made by Allen-Bradley is a 9 Amps rated contactor. This electromechanical contactor switch comes with 4 N.O. poles and uses a standard terminal. This 100 series E frame contactor switch is a 100-250 Volts alternating current/direct current contactor switch. This E frame contactor comes with bar connections. "
