"product id","Part Number",Description
62159,20G11BC1K0JN0NNNNN,"The 20G11BC1K0JN0NNNNN manufactured by Rockwell Automation comes with an output rating of 1040A. This PF755 frequency drive is enclosed in an IP20, NEMA/UL type 1 (600 mm) enclosure type. This PowerFlex 755 frequency drive has a plastic cover in place of the keypad module but an HIM can be installed. Additionally, this PowerFlex 755 AC drive comes with a rating of 560 kW. In addition, it has a jumper installed in the drive, comes with one digital input in the drive, and voltage rating of 400 VAC. "
62160,20G11BC1K0JN2NNNNN,"This PowerFlex 750 (PF755) assembled by Allen-Bradley/Rockwell Automation comes with a rating of 1040A. Also, it has Ethernet. This PF755 VFD is enclosed in an IP20, NEMA/UL type 1 enclosure. Additionally, it comes with a LCD and numeric keypad (IP20) on this drive [to allow for easy programming, to monitor the drive, to access and adjust settings or parameters, to adjust settings on the drive, to adjust parameters, to program this unit, in order to view faults/program, to program/view faults, to check the status of the drive, to monitor the vfd, in order to program this unit, to allow easy monitoring and programming. This AC drive is a 560 kW rated drive and uses 400 Votls AC to run. "
62161,20G11BC1K0JN4NNNNN,"The 20G11BC1K0JN4NNNNN assembled by Allen-Bradley is a 560 kW rated VFD. This PowerFlex 750 (PF755) AC drive additionally comes with an IP20, NEMA/UL type 1 (600 mm) enclosure type. This PF755 adjustable frequency drive comes with ethernet communication in the drive. In addition, it comes with an output rating of 1040 Amp, is powered via 400 VAC (3 Phase), and the CM cap jumper on the drive. Furthermore, this unit also comes with a LCD display with keypad (IP66) module on this drive [to allow for easy programming, to monitor the drive, to access and adjust settings or parameters, to adjust settings on the drive, to adjust parameters, to program this unit, in order to view faults/program, to program/view faults, to check the status of the drive, to monitor the vfd, in order to program this unit, to allow easy monitoring and programming. "
62162,20G11BC1K1JN0NNNNN,"The 20G11BC1K1JN0NNNNN made by Allen-Bradley is a 630 kW rated drive. This PF 755 frequency drive comes with an IP20, NEMA/UL type 1 enclosure. This PowerFlex 750 (PF755) drive additionally has an output rating of 1090 A. Furthermore, this unit has no human interface, instead it comes with a plastic cover. This adjustable frequency drive requires 400 AC (540 DC) power, has no internal transistor installed in the VFD, and 5 option slots as part of this drive. "
62163,20G11BC1K1JN2NNNNN,"This PF755 assembled by AB comes with a kW ND output rating of 630 kW. In addition, this PowerFlex 755 variable frequency drive is powered with 400 AC (540 DC). Also, it has an amperage rating of 1090 Amp and an IP20, NEMA/UL type 1 enclosure rating. It has one digital input included with the VFD. It has a full keypad and enhanced display (IP20) installed [to allow for easy programming, to monitor the drive, to access and adjust settings or parameters, to adjust settings on the drive, to adjust parameters, to program this unit, in order to view faults/program, to program/view faults, to check the status of the drive, to monitor the vfd, in order to program this unit, to allow easy monitoring and programming. "
62164,20G11BC1K1JN4NNNNN,"This drive assembled by Allen-Bradley has a rating of 1090A. This PowerFlex 750 (PF755) drive is a 400 AC (540 DC) adjustrable frequency drive. In addition, this PowerFlex 750 (PF755) VFD is a 630 kW drive. This drive comes with embedded Ethernet in the drive and has no internal transistor included. This PF 755 adjustable frequency drive also is contained in an IP20, NEMA/UL type 1 enclosure type. "
62165,20G11BC1K2JN0NNNNN,"This PowerFlex 750 (PF755) by Rockwell Automation is a 710 kilowatt rated unit. This PF755 VAC drive also comes with a blank HIM cover instead of the display but an HIM module can be added. This frequency drive is powered on with 400 VAC (3 Phase). Furthermore, this VAC drive also has an IP20, NEMA/UL type 1, 23.6 in. deep enclosure. This PowerFlex 755 AC drive additionally is a 1175A rated VFD. "
62166,20G11BC1K2JN2NNNNN,"The 20G11BC1K2JN2NNNNN made by Allen-Bradley has a ND output rating of 710 kW. In addition, this Allen-Bradley VFD comes with voltage rating of 400 VAC or 540 VDC. This PowerFlex 750 (PF755) drive comes with a rating of 1175 Amp. It has Ethernet in the drive. Additionally, this VAC drive comes with an IP20, NEMA/UL type 1, 23.6 in. deep enclosure and no dynamic braking transistor installed. "
62167,20G11BC1K2JN4NNNNN,"This Allen-Bradley 1175A PowerFlex 755 drive comes with a kW ND output rating of 710 kilowatt. Also, it is powered on with 400 Votls AC and comes with a LCD display with keypad (IP66) HIM unit on the cover [to allow for easy programming, to monitor the drive, to access and adjust settings or parameters, to adjust settings on the drive, to adjust parameters, to program this unit, in order to view faults/program, to program/view faults, to check the status of the drive, to monitor the vfd, in order to program this unit, to allow easy monitoring and programming. It has no dynamic brake on the VFD. In addition, this adjustable frequency drive has 5 option slots included in this VAC drive. This PowerFlex 750 (PF755) variable frequency drive comes with an IP20, NEMA/UL type 1, 23.6 in. deep enclosure type rating. "
62168,20G11BC1K4JN0NNNNN,"This Allen-Bradley/Rockwell Automation PowerFlex 750 (PF755) variable frequency drive is a 1465 A VAC drive. Furthermore, this Allen-Bradley AC drive also comes with the CM cap jumper included in the drive. It comes with voltage rating of 400 VAC or 540 VDC. Also, it comes with a ND output rating of 800 kilowatt. Additionally, this PowerFlex 755 adjustable frequency drive comes with embedded Ethernet I/P as part of this drive. "
62169,20G11BC1K4JN2NNNNN,"The 20G11BC1K4JN2NNNNN assembled by Allen-Bradley comes with a kW ND output rating of 800 kilowatt. Furthermore, this unit features Ethernet on the VFD. This PowerFlex 755 adjustable frequency drive in addition comes with an amperage rating of 1465 Amp. This AC drive requires 400 VAC power and has no dynamic braking transistor built into it. Additionally, this PF755 VAC drive has an IP20, NEMA/UL type 1, 23.6 in. deep enclosure type rating. "
