Specification,Specification_Occurrences,Value_Occurrences,value,value_conversion,template_group
Amps,1274,14,9.6,,
Amps,1274,12,8.7,,
Amps,1274,63,8,,
Amps,1274,34,72,,
Amps,1274,4,70,,
Amps,1274,36,65,,
Amps,1274,19,60,,
Amps,1274,17,6.8,,
Amps,1274,4,54,,
Amps,1274,59,52,,
Amps,1274,94,5,,
Amps,1274,23,43,,
Amps,1274,4,42,,
Amps,1274,4,41,,
Amps,1274,59,40,,
Amps,1274,21,4.2,,
Amps,1274,18,37,,
Amps,1274,69,34,,
Amps,1274,3,32,,
Amps,1274,23,30,,
Amps,1274,12,3.5,,
Amps,1274,79,3.4,,
Amps,1274,5,28,,
Amps,1274,87,27,,
Amps,1274,122,22,,
Amps,1274,10,2.7,,
Amps,1274,19,2.2,,
Amps,1274,74,2.1,,
Amps,1274,6,17,,
Amps,1274,21,15.4,,
Amps,1274,12,15.3,,
Amps,1274,83,14,,
Amps,1274,26,11.5,,
Amps,1274,84,11,,
Amps,1274,7,1.7,,
Amps,1274,6,1.3,,
Amps,1274,34,1.1,,
Amps,1274,7,0.9,,
Control,1273,555,Standard,,
Control,1273,718,Enhanced,,
Enclosure,1287,132,"Wall/Machine Mount = IP66, NEMA/UL Type 4X/12 for indoor use only",,
Enclosure,1287,6,"Wall/Machine Mount - IP54, NEMA/UL Type 12",,
Enclosure,1287,1065,"Panel Mount - IP 20, NEMA/UL Type 1",,
Enclosure,1287,84,"Flange Mount - Front Chassis = IP 20, NEMA/UL Type 1, Rear Heatsink = IP66, NEMA/UL Type 4X/12 for indoor/outdoor use",,
Feedback,685,654,No Feedback  - Enhanced Control,,
Feedback,685,31,5V/12V Encoder w/Enhanced Control,,
Frame,1274,160,E,,
Frame,1274,419,D,,
Frame,1274,226,C,,
Frame,1274,200,B,,
Frame,1274,269,A,,
HP,1274,114,7.5,,
HP,1274,74,50,,
HP,1274,87,5,,
HP,1274,78,40,,
HP,1274,85,30,,
HP,1274,108,3,,
HP,1274,94,25,,
HP,1274,115,20,,
HP,1274,118,2,,
HP,1274,119,15,,
HP,1274,114,10,,
HP,1274,102,1,,
HP,1274,66,0.5,,
Interface Module,1205,7,Prog. Only LCD,,
Interface Module,1205,661,Full Numeric LCD,,
Interface Module,1205,537,Blank Cover,,
kW,1274,114,7.5,,
kW,1274,114,5.5,,
kW,1274,24,4,,
kW,1274,74,37,,
kW,1274,78,30,,
kW,1274,63,3.7,,
kW,1274,85,22,,
kW,1274,108,2.2,,
kW,1274,94,18.5,,
kW,1274,115,15,,
kW,1274,119,11,,
kW,1274,118,1.5,,
kW,1274,102,0.75,,
kW,1274,66,0.37,,
Network Type,1291,50,Remote I/O,,
Network Type,1291,613,None,,
Network Type,1291,199,EtherNet/IP,,
Network Type,1291,209,DeviceNet,,
Network Type,1291,220,ControlNet (Coax),,
Ph.,1297,1297,3,,
Rating,1292,328,"Not Filtered A & B Frames (Optional) C, D & E Frames",,
Rating,1292,964,"Filtered A & B Frames (Optional) C, D, & E Frames (Standard)",,
Safe-Off,1273,95,Yes,,
Safe-Off,1273,623,No,,
Safe-Off,1273,555,N/A,,
Type,1281,257,No Manual,,
Type,1281,1024,Manual,,
Voltage,1297,75,600V AC,,
Voltage,1297,888,480V AC,,
Voltage,1297,225,400V AC,,
Voltage,1297,109,240V AC,,
w/Brake IGBT,1275,1275,Yes,,
w/Resistor,1288,138,Yes,,
w/Resistor,1288,1150,No,,
