"Product Number",MPN,Series,Manufacturer,"Product Type","Terminal Type","Contactor Amperage","Control Voltage","Control Frequency","Auxiliary Contacts","Main Poles",Options
100-K,100-K-VCM,"MCS-C Non-Reversing Contactor","Allen Bradley","Miniature Frame IEC Contactor",Screw,-,-,-,-,-
100-K,100-K-VLM,"MCS-C Non-Reversing Contactor","Allen Bradley","Miniature Frame IEC Contactor",Screw,-,-,-,-,-
100-K,100-K-VPM,"MCS-C Non-Reversing Contactor","Allen Bradley","Miniature Frame IEC Contactor",Screw,-,-,-,-,-
100-K,100-K-VTM,"MCS-C Non-Reversing Contactor","Allen Bradley","Miniature Frame IEC Contactor",Screw,-,-,-,-,-
100-K-05-B-01,100-K05B01,"MCS-C Non-Reversing Contactor","Allen Bradley","Miniature Frame IEC Contactor",Screw,5A,"480V 60Hz",60Hz,"0 N.O. 1 N.C.",3
100-K-05-B-01-M,100-K05B01M,"MCS-C Non-Reversing Contactor","Allen Bradley","Miniature Frame IEC Contactor",Screw,5A,"480V 60Hz",60Hz,"0 N.O. 1 N.C.",3
100-K-05-B-10,100-K05B10,"MCS-C Non-Reversing Contactor","Allen Bradley","Miniature Frame IEC Contactor",Screw,5A,"480V 60Hz",60Hz,"1 N.O. 0 N.C.",3
100-K-05-B-10-M,100-K05B10M,"MCS-C Non-Reversing Contactor","Allen Bradley","Miniature Frame IEC Contactor",Screw,5A,"480V 60Hz",60Hz,"1 N.O. 0 N.C.",3
100-K-05-B-200,100-K05B200,"MCS-C Non-Reversing Contactor","Allen Bradley","Miniature Frame IEC Contactor",Screw,5A,"480V 60Hz",60Hz,"0 N.O. 0 N.C.","2 N.O. 2 N.C."
100-K-05-B-200-M,100-K05B200M,"MCS-C Non-Reversing Contactor","Allen Bradley","Miniature Frame IEC Contactor",Screw,5A,"480V 60Hz",60Hz,"0 N.O. 0 N.C.","2 N.O. 2 N.C."
100-K-05-B-300,100-K05B300,"MCS-C Non-Reversing Contactor","Allen Bradley","Miniature Frame IEC Contactor",Screw,5A,"480V 60Hz",60Hz,"0 N.O. 0 N.C.","3 N.O. 1 N.C."
100-K-05-B-300-M,100-K05B300M,"MCS-C Non-Reversing Contactor","Allen Bradley","Miniature Frame IEC Contactor",Screw,5A,"480V 60Hz",60Hz,"0 N.O. 0 N.C.","3 N.O. 1 N.C."
